date,day,quarter,department,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,actual_productivity,no_of_workers
01/01/2015,5,Quarter1,sweing,8,0.8,26.16,1108.0,7080,98,0.0,0,0,0.940725424,32
01/01/2015,5,Quarter1,finishing ,1,0.75,3.94,0.0,960,0,0.0,0,0,0.8865,32
01/01/2015,5,Quarter1,sweing,11,0.8,11.41,968.0,3660,50,0.0,0,0,0.800570492,32
01/01/2015,5,Quarter1,sweing,12,0.8,11.41,968.0,3660,50,0.0,0,0,0.800570492,32
01/01/2015,5,Quarter1,sweing,6,0.8,25.9,1170.0,1920,50,0.0,0,0,0.800381944,32
01/01/2015,5,Quarter1,sweing,7,0.8,25.9,984.0,6720,38,0.0,0,0,0.800125,32
01/01/2015,5,Quarter1,finishing ,2,0.75,3.94,0.0,960,0,0.0,0,0,0.755166667,29
01/01/2015,5,Quarter1,sweing,3,0.75,28.08,795.0,6900,45,0.0,0,0,0.753683478,29
01/01/2015,5,Quarter1,sweing,2,0.75,19.87,733.0,6000,34,0.0,0,0,0.753097531,29
01/01/2015,5,Quarter1,sweing,1,0.75,28.08,681.0,6900,45,0.0,0,0,0.750427826,29
01/01/2015,5,Quarter1,sweing,9,0.7,28.08,872.0,6900,44,0.0,0,0,0.721126957,29
01/01/2015,5,Quarter1,sweing,10,0.75,19.31,578.0,6480,45,0.0,0,0,0.712205247,29
01/01/2015,5,Quarter1,sweing,5,0.8,11.41,668.0,3660,50,0.0,0,0,0.707045902,29
01/01/2015,5,Quarter1,finishing ,10,0.65,3.94,0.0,960,0,0.0,0,0,0.705916667,29
01/01/2015,5,Quarter1,finishing ,8,0.75,2.9,0.0,960,0,0.0,0,0,0.676666667,24
01/01/2015,5,Quarter1,finishing ,4,0.75,3.94,0.0,2160,0,0.0,0,0,0.593055556,26
01/01/2015,5,Quarter1,finishing ,7,0.8,2.9,0.0,960,0,0.0,0,0,0.540729167,26
01/01/2015,5,Quarter1,sweing,4,0.65,23.69,861.0,7200,0,0.0,0,0,0.52118,26
01/01/2015,5,Quarter1,finishing,11,0.7,4.15,0.0,1440,0,0.0,0,0,0.436326389,20
01/03/2015,7,Quarter1,finishing ,4,0.8,4.15,0.0,6600,0,0.0,0,0,0.988024691,32
01/03/2015,7,Quarter1,finishing ,11,0.75,2.9,0.0,5640,0,0.0,0,0,0.987880435,32
01/03/2015,7,Quarter1,finishing ,9,0.8,4.15,0.0,960,0,0.0,0,0,0.956270833,32
01/03/2015,7,Quarter1,finishing ,3,0.75,3.94,0.0,1560,0,0.0,0,0,0.945277778,32
01/03/2015,7,Quarter1,finishing ,1,0.8,3.94,0.0,960,0,0.0,0,0,0.902916667,32
01/03/2015,7,Quarter1,sweing,1,0.8,28.08,772.0,6300,50,0.0,0,0,0.800725314,32
01/03/2015,7,Quarter1,sweing,3,0.8,28.08,913.0,6540,50,0.0,0,0,0.800322936,32
01/03/2015,7,Quarter1,sweing,8,0.8,26.16,1261.0,7080,50,0.0,0,0,0.800318644,32
01/03/2015,7,Quarter1,sweing,12,0.8,26.16,844.0,7080,63,0.0,0,0,0.800318644,32
01/03/2015,7,Quarter1,sweing,11,0.8,11.61,1005.0,7080,50,0.0,0,0,0.800237288,32
