,branch_id,country,auditor_id,num_findings,severity_score,audit_score,compliance,audit_duration_days
0,172,UK,37,6,5,32.48070023608935,1,24.255019430682232
1,47,India,42,5,10,78.65749247338616,1,7.208850776586845
2,117,France,766,7,8,61.00253398907468,1,7.9204204046949735
3,192,Germany,207,3,10,40.63556502438968,1,5.468780438488635
4,323,France,145,4,10,47.00413717128533,1,3.105639566209058
5,251,China,360,4,8,59.87129031928688,0,8.276223553472667
6,195,UK,143,7,7,1.0,0,8.406002927488279
7,359,Germany,241,6,3,83.45339377595207,1,1.9479614155698917
8,9,Germany,128,7,1,53.93598206180111,0,1.0
9,211,UK,617,3,5,56.395502680333365,1,6.436123383612661
10,277,China,992,1,4,42.2565678540947,0,9.0726714552287
11,242,UK,366,7,6,63.67417927475426,1,7.994127889645998
12,292,China,887,4,4,61.30670140003852,0,9.693567449252816
13,87,UK,726,7,2,62.22134647464154,0,4.8076977218618815
14,70,France,675,8,6,80.41282576696184,1,8.691812081352726
15,472,China,398,6,4,34.29624427223955,1,1.0
16,88,France,125,5,7,50.67147241831769,0,22.264295668861035
17,396,US,544,7,10,56.10000742489161,1,4.709190749707789
18,314,Germany,288,4,4,71.86144323674901,0,3.033306235552751
19,193,Germany,717,4,1,41.732853202267734,0,1.0
20,486,India,314,7,6,51.59679334761001,1,5.89898247484787
21,39,China,149,7,3,83.12924997905237,0,30.0
22,87,Spain,150,5,5,65.40341015475767,0,1.2315774166938214
23,174,Germany,522,5,8,40.13338298510675,0,9.723709044485863
24,88,US,533,6,5,47.67091080225712,1,3.815919122491563
25,337,US,375,3,9,49.02038358998365,0,5.467153245989443
26,165,UK,979,6,7,62.4643827682046,1,2.0002030900809933
27,25,Germany,641,4,1,45.91982853062418,1,1.9287971235490364
28,333,US,937,7,1,43.627814146412305,1,2.8774041800255103
29,72,UK,739,7,7,56.78189419861915,1,2.9464657898077746
30,265,India,976,6,4,77.31904956068959,1,9.662023057795139
31,404,China,456,7,8,45.934176138825485,1,1.874129196403881
32,115,US,3,3,6,9.893295884367149,1,10.26876404690174
33,464,Germany,118,6,10,62.94146714682785,0,1.0
34,243,India,725,10,1,56.21086521148307,1,18.570819857080043
35,197,India,271,2,10,60.958023807744276,1,16.717070775574985
36,335,India,24,6,8,33.48563368842572,0,4.900172550358147
37,431,Germany,413,4,7,49.39119085688218,1,2.2022947614944055
38,448,UK,983,2,6,24.097744220643218,1,3.9033465849650635
39,338,Germany,448,4,9,35.33295728968598,1,1.0
40,99,UK,748,2,3,45.15014887805203,1,8.851149115457087
41,472,Germany,896,4,6,32.58702046937873,1,15.812354123325765
42,177,Spain,951,9,7,50.15948567604707,0,4.10272760720654
43,243,UK,191,5,3,50.32076060065771,0,1.0
44,285,Spain,33,8,2,58.00580902307356,1,11.807748967261846
45,147,China,647,4,2,42.04447933703999,1,6.612515648048987
46,147,Germany,155,4,8,22.854488807192165,0,2.9799138087827477
47,398,India,470,4,5,65.99610683450379,1,30.0
48,423,China,90,1,7,49.69862629810437,0,6.531398586075681
49,288,France,725,2,4,37.86161150448332,0,1.0
50,449,Germany,484,4,4,40.37329536638552,1,10.72112399754296
51,265,China,820,3,7,46.6293958992729,1,3.991295587189567
52,185,China,565,4,7,54.09124475786916,0,7.512824364229717
53,127,India,51,5,6,49.73959453803458,0,1.0
54,32,India,89,5,6,33.930968011712025,1,13.217490321311208
55,31,France,219,6,8,53.376888351238236,1,2.5574783970920936
56,202,Germany,777,3,10,50.70709167912746,1,17.51395290036009
57,244,UK,569,4,7,49.334053075342844,0,2.386912163461649
58,151,US,182,3,5,60.95289051180758,1,13.487612835817389
59,163,UK,688,9,9,54.99149329945665,0,4.973561837018415
60,459,China,413,5,1,47.49515965982539,1,10.8296458731314
61,370,France,346,5,10,48.649275598176175,1,1.9173899297732573
62,183,Germany,393,4,9,47.18146499384281,1,6.142380480048544
63,28,Germany,688,1,4,32.72940180189419,0,4.078543450103329
64,290,Germany,925,5,10,44.57558427788953,1,23.86606972001087
65,128,US,884,3,1,25.12519777722273,0,2.2324523023464757
66,128,US,683,3,6,47.1537493692058,1,5.817250523193643
67,420,UK,906,10,4,19.236465251204148,1,1.0
68,53,China,422,7,6,71.58705151680488,1,3.8773394910645873
69,389,UK,698,6,6,44.60045151421393,1,1.0
70,38,France,406,3,1,39.51364649192726,1,9.504844381939762
71,488,US,272,1,8,29.76344861570931,0,2.828031501024854
72,244,Spain,980,7,9,33.653102063761295,1,16.40456639412638
73,273,UK,101,4,9,18.940885311408774,1,17.02532812330006
74,335,China,684,8,6,60.66800674504941,1,1.0
75,388,India,411,8,7,50.56260085444869,1,13.335618629746122
76,105,Spain,266,6,8,40.3943906896253,1,15.57365350248994
77,42,UK,365,7,6,56.08948959373084,1,8.241252893393522
78,442,China,167,6,10,59.70524586689604,1,22.862776075314194
79,31,Spain,45,8,9,77.75472442352032,1,30.0
80,376,India,428,5,8,24.726141777717327,0,6.390356419756586
81,257,India,937,5,10,30.401232623121018,1,14.196837034524147
82,321,Spain,605,3,8,66.00037332437049,0,17.095016253102468
83,487,UK,635,4,10,64.91965775039353,1,7.83832108481767
84,425,US,133,6,4,40.5354027887926,1,10.059597707200385
85,57,UK,642,3,2,53.72208333344978,1,2.392121964006791
86,291,US,304,3,9,40.97185411845381,1,1.6645635963754368
87,358,Germany,530,7,2,18.08820505427263,1,9.287585712291065
88,119,China,996,4,9,42.91124309003689,0,19.949747483365684
89,267,China,102,6,7,70.08064553986307,0,5.117841726136037
90,430,Germany,607,6,3,44.56970389552508,1,1.2861783022240603
91,82,Germany,560,3,7,56.20886895835156,1,1.4533390058791653
92,91,India,823,7,1,58.70109344051645,0,7.028043180250819
93,384,China,445,7,9,51.41351106338191,1,1.4678973033732055
94,398,Germany,136,6,6,45.185147991404946,0,3.503208908115501
95,99,France,470,3,9,51.33407774526334,0,5.530800470108272
96,53,India,934,4,4,67.11843236284128,1,6.5370917662329395
97,396,France,19,4,10,15.070542369846734,0,5.924008271029264
98,121,UK,762,2,7,19.72965590553953,1,1.5377154883850948
