reg,presentosaberpro,cole_area_ubicacion,cole_bilingue,cole_calendario,cole_genero,cole_naturaleza,estu_antecedentes,estu_area_reside,estu_genero,fami_estrato_vivienda,estu_vecespresentoexamen,desemp_ingles,cole_jornada,cole_caracter,presentosabertyt,estu_trabaja,fami_ingreso_fmiliar_mensual,fami_nivel_sisben,fami_personas_hogar
1,SI,1,0,0,1,0,1,1,0,3,0,1,0,0,0,0,1,0,5
2,SI,1,0,1,1,1,0,0,0,1,1,1,0,2,0,0,0,1,6
3,SI,1,0,1,0,1,1,0,0,2,1,1,0,0,0,0,1,1,4
4,SI,1,0,1,1,1,0,1,0,3,1,3,0,0,0,0,1,0,7
5,SI,1,0,1,1,1,0,1,0,2,0,0,0,0,0,0,2,3,5
6,SI,1,0,1,1,1,0,1,0,2,3,0,1,0,0,2,2,0,5
7,SI,1,0,1,1,0,0,1,0,2,3,2,0,0,0,0,5,2,4
8,SI,1,0,1,1,0,0,1,1,3,0,1,0,0,0,0,3,0,3
9,SI,1,0,1,1,1,0,1,0,2,0,0,3,2,0,0,1,2,6
10,SI,1,0,1,1,1,0,1,0,1,0,1,0,2,0,0,0,1,4
11,SI,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,5
12,SI,1,0,1,1,1,0,0,0,2,2,0,0,0,0,0,0,1,3
13,SI,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,5
14,SI,1,0,1,1,1,0,0,0,1,1,0,0,2,0,0,0,1,5
15,SI,1,0,1,1,1,0,1,1,2,1,1,0,2,0,0,1,2,6
16,SI,1,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,1,4
17,SI,1,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,2,4
18,SI,1,0,1,1,1,0,1,0,2,0,0,1,0,0,0,1,0,3
19,SI,1,0,1,1,1,1,1,0,1,0,0,2,2,0,2,0,1,4
20,SI,1,0,1,1,1,0,0,0,1,0,0,3,2,0,0,0,1,5
21,SI,1,0,1,1,1,0,1,1,2,0,2,0,1,0,0,1,0,2
22,SI,0,0,1,1,1,0,0,1,1,0,1,0,2,0,0,1,1,4
23,SI,1,0,1,1,1,0,1,1,2,0,1,0,0,0,0,1,2,4
24,SI,1,0,1,1,0,0,1,1,3,0,2,0,0,0,0,3,0,4
25,SI,1,0,1,1,1,0,0,0,2,2,0,0,0,0,0,2,1,3
26,SI,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,4
27,SI,1,0,1,1,0,0,1,1,2,1,1,0,0,0,0,0,0,4
28,SI,1,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,1,2
29,SI,1,0,1,1,1,0,1,1,2,0,1,0,0,0,0,2,0,5
30,SI,1,0,0,1,0,0,1,1,3,0,2,0,0,0,0,3,0,4
31,SI,1,0,1,1,1,0,1,1,3,0,1,1,2,0,1,1,0,4
32,SI,1,0,1,1,1,0,1,1,1,0,1,0,2,0,0,0,1,4
33,SI,1,0,1,1,0,0,1,1,3,1,1,0,0,0,0,2,0,4
34,SI,1,0,1,1,1,0,1,1,2,2,3,1,0,0,0,3,0,12
35,SI,1,0,1,1,1,0,1,0,1,0,1,1,2,0,0,0,0,5
36,SI,1,0,1,1,1,0,1,0,2,0,2,1,0,0,0,1,0,6
37,SI,1,0,1,1,1,0,1,1,3,0,2,0,0,0,0,2,0,4
